data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2026-08-20 01:58:08.516640;2400;RESTINGA TRANSPORTES COLETIVOS LTDA;ITR2400;M. BENZ;O500 U                                            ;2011-06-30;2010;DIESEL
2026-08-20 01:58:08.516640;2167;VIACAO TERESOPOLIS CAVALHADA LTDA;ISF4079;M. BENZ;OF 1722;2011-08-25;2011;DIESEL
2026-08-20 01:58:08.516640;806;CARRIS PORTO-ALEGRENSE LTDA;ITB5398;M. BENZ;O500MA                                            ;2012-04-05;2010;DIESEL
2026-08-20 01:58:08.516640;4459;VIACAO ALTO PETROPOLIS LTDA;ISP1638;M. BENZ;OF 1722;2011-12-14;2011;DIESEL
2026-08-20 01:58:08.516640;815;CARRIS PORTO-ALEGRENSE LTDA;ITX4360;VOLVO                                             ;B340M                                             ;2012-12-28;2012;DIESEL
2026-08-20 01:58:08.516640;799;CARRIS PORTO-ALEGRENSE LTDA;ISX5480;M. BENZ;O500MA                                            ;2012-02-15;2010;DIESEL
2026-08-20 01:58:08.516640;792;CARRIS PORTO-ALEGRENSE LTDA;ISY5494;M. BENZ;O-500M                                            ;2012-04-11;2011;DIESEL
2026-08-20 01:58:08.516640;803;CARRIS PORTO-ALEGRENSE LTDA;ISW3F62;M. BENZ;O500MA                                            ;2012-02-16;2010;DIESEL
2026-08-20 01:58:08.516640;3135;SUDESTE TRANSPORTES COLETIVOS LTDA;ITW5266;M. BENZ;O500MA                                            ;2012-12-21;2012;DIESEL
2026-08-20 01:58:08.516640;3527;EMPRESA GAZÔMETRO DE TRANSPORTES LTDA;IUP7043;M. BENZ;OF 1721                                           ;2013-08-15;2013;DIESEL
2026-08-20 01:58:08.516640;4444;VIACAO ALTO PETROPOLIS LTDA;IQY7355;M. BENZ;O-500M                                            ;2010-07-23;2010;DIESEL
2026-08-20 01:58:08.516640;843;CARRIS PORTO-ALEGRENSE LTDA;IWH8A21;VOLVO                                             ;B290R                                             ;2015-01-31;2014;DIESEL
2026-08-20 01:58:08.516640;6678;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ITR8078;M. BENZ;OF 1721                                           ;2012-11-07;2012;DIESEL
2026-08-20 01:58:08.516640;1062;TRANSPORTES COLETIVOS TREVO LTDA;ISM8190;M. BENZ;OF 1722;2011-11-22;2011;DIESEL
2026-08-20 01:58:08.516640;795;CARRIS PORTO-ALEGRENSE LTDA;ITA5397;M. BENZ;O-500M                                            ;2012-04-27;2011;DIESEL
2026-08-20 01:58:08.516640;6740;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ5416;M. BENZ;O-500M                                            ;2011-06-22;2011;DIESEL
2026-08-20 01:58:08.516640;1068;TRANSPORTES COLETIVOS TREVO LTDA;ITE6890;M. BENZ;O500MA                                            ;2012-06-19;2010;DIESEL
2026-08-20 01:58:08.516640;2132;VIACAO TERESOPOLIS CAVALHADA LTDA;ITX0273;M. BENZ;O-500M                                            ;2012-12-27;2012;DIESEL
2026-08-20 01:58:08.516640;807;CARRIS PORTO-ALEGRENSE LTDA;ITQ0895;M. BENZ;O-500M                                            ;2012-10-16;2012;DIESEL
